AccountId,New_financeprofileId,New_NumberofGrants,new_totalexpenditure_base,new_totalassets_base,new_annualturnover_base,New_Value,TransactionCurrencyIdName,new_totalexpenditure,new_totalassets,new_annualturnover,ExchangeRate,new_name,new_AverageExchangeRate
fe27e530-53b6-dd11-b898-00188b804fcd,2206705b-9821-e511-b56b-00155d331923,,32050961.0000,2965727000.0000,,2014,Euro,32050961.0000,2965727000.0000,,1.0000000000,,
ff27e530-53b6-dd11-b898-00188b804fcd,cba0d855-b723-e511-b56b-00155d331923,,68000000.0000,5300000000.0000,,2014,Euro,68000000.0000,5300000000.0000,,1.0000000000,,
40f512ab-d7fd-dd11-87d0-00188b804fcd,4bec6ded-d923-e511-b56b-00155d331923,,660181.0000,42779613.0000,,2014,Euro,660181.0000,42779613.0000,,1.0000000000,,
72b3cb48-53b6-dd11-b898-00188b804fcd,6ac3abd3-5630-e511-aa0f-00155d33171d,,,,,2014,Euro,,,,1.0000000000,,
fdd0db36-53b6-dd11-b898-00188b804fcd,20466356-6d30-e511-aa0f-00155d33171d,,7892687.0000,8714171.0000,,2014,Euro,7892687.0000,8714171.0000,,1.0000000000,,
6d10d185-f6f2-e411-b56b-00155d331923,caa92c66-2710-e511-b56b-00155d331923,2,4000000.0000,600000.0000,,2014,Euro,4000000.0000,600000.0000,,1.0000000000,,
fa27e530-53b6-dd11-b898-00188b804fcd,662be56e-9c20-e511-b56b-00155d331923,,30579726.0000,196000000.0000,,2014,Euro,30579726.0000,196000000.0000,,1.0000000000,,
6828e530-53b6-dd11-b898-00188b804fcd,2e2778ff-9e20-e511-b56b-00155d331923,,72258578.0000,591262284.0000,,2014,Euro,72258578.0000,591262284.0000,,1.0000000000,,
b0d0db36-53b6-dd11-b898-00188b804fcd,0a6e8eae-a820-e511-b56b-00155d331923,,135389000.0000,6665000000.0000,,2014,Euro,135389000.0000,6665000000.0000,,1.0000000000,,
1cb4cb48-53b6-dd11-b898-00188b804fcd,211f77fd-c120-e511-b56b-00155d331923,,4675135.0000,5048629.0000,,2014,Euro,4675135.0000,5048629.0000,,1.0000000000,,
e9d0db36-53b6-dd11-b898-00188b804fcd,9518016b-6a21-e511-b56b-00155d331923,,,,,2014,Euro,,,,1.0000000000,,
4428e530-53b6-dd11-b898-00188b804fcd,38ff2689-1931-e511-aa0f-00155d33171d,,217873973.0000,4666102660.0000,,2014,Euro,217873973.0000,4666102660.0000,,1.3285000000,,
2828e530-53b6-dd11-b898-00188b804fcd,f1689bc8-1c31-e511-aa0f-00155d33171d,,28243440.0000,156563784.0000,,2014,Euro,28243440.0000,156563784.0000,,1.0000000000,,
50be3687-3321-e311-bf0f-00155d001608,e58c33bc-0aa6-e411-b56b-00155d331923,18,2861506.0000,54614408.0000,,2014,Euro,2861506.0000,54614408.0000,,1.0000000000,,
feb3cb48-53b6-dd11-b898-00188b804fcd,84e7c96c-1726-e511-b56b-00155d331923,,5534236.0000,293801991.0000,,2014,Euro,5534236.0000,293801991.0000,,1.0000000000,,
07b4cb48-53b6-dd11-b898-00188b804fcd,d6ee9bbd-1726-e511-b56b-00155d331923,,3998287.0000,111247799.0000,,2014,Euro,3998287.0000,111247799.0000,,1.0000000000,,
0fb4cb48-53b6-dd11-b898-00188b804fcd,c431ecee-1726-e511-b56b-00155d331923,,5891959.0000,242005672.0000,,2014,Euro,5891959.0000,242005672.0000,,1.0000000000,,
1cbec44e-53b6-dd11-b898-00188b804fcd,e4f15957-1826-e511-b56b-00155d331923,,24036596.0000,694791927.0000,,2014,Euro,24036596.0000,694791927.0000,,1.0000000000,,
4796bb5a-53b6-dd11-b898-00188b804fcd,29b224a0-1826-e511-b56b-00155d331923,,10842987.0000,1042467109.0000,,2014,Euro,10842987.0000,1042467109.0000,,1.0000000000,,
4896bb5a-53b6-dd11-b898-00188b804fcd,446d2f67-1926-e511-b56b-00155d331923,,36989222.0000,1388019134.0000,,2014,Euro,36989222.0000,1388019134.0000,,1.0000000000,,
8896bb5a-53b6-dd11-b898-00188b804fcd,612b8389-1a26-e511-b56b-00155d331923,,25540673.0000,467461807.0000,,2014,Euro,25540673.0000,467461807.0000,,1.0000000000,,
8d96bb5a-53b6-dd11-b898-00188b804fcd,5aeb67c5-1a26-e511-b56b-00155d331923,,3447487.0000,213883843.0000,,2014,Euro,3447487.0000,213883843.0000,,1.0000000000,,
9396bb5a-53b6-dd11-b898-00188b804fcd,11b889fa-1c26-e511-b56b-00155d331923,,13516021.0000,496914664.0000,,2014,Euro,13516021.0000,496914664.0000,,1.0000000000,,
9796bb5a-53b6-dd11-b898-00188b804fcd,caf1f94a-1d26-e511-b56b-00155d331923,,6183454.0000,83557089.0000,,2014,Euro,6183454.0000,83557089.0000,,1.0000000000,,
d896bb5a-53b6-dd11-b898-00188b804fcd,95943fa8-1d26-e511-b56b-00155d331923,,7101827.0000,345791416.0000,,2014,Euro,7101827.0000,345791416.0000,,1.0000000000,,
2e02b760-53b6-dd11-b898-00188b804fcd,660db114-1e26-e511-b56b-00155d331923,,4942989.0000,218149708.0000,,2014,Euro,4942989.0000,218149708.0000,,1.0000000000,,
7a02b760-53b6-dd11-b898-00188b804fcd,1cbe0257-1e26-e511-b56b-00155d331923,,1688388.0000,97826863.0000,,2014,Euro,1688388.0000,97826863.0000,,1.0000000000,,
8cdbd43c-53b6-dd11-b898-00188b804fcd,cdf024f2-1426-e511-b56b-00155d331923,,19407196.0000,208483329.0000,,2014,Euro,19407196.0000,208483329.0000,,1.0000000000,,
92dbd43c-53b6-dd11-b898-00188b804fcd,483bd058-1526-e511-b56b-00155d331923,,97062381.0000,2555000000.0000,,2014,Euro,97062381.0000,2555000000.0000,,1.0000000000,,
81bec44e-53b6-dd11-b898-00188b804fcd,d170688b-aa24-e511-b56b-00155d331923,,1203912693.0000,577136423.0000,,2014,Euro,1203912693.0000,577136423.0000,,1.0000000000,,
de902966-3e3a-de11-96fa-00188b804fcd,ada96ae5-1026-e511-b56b-00155d331923,,27202129.0000,554516771.0000,,2014,Euro,27202129.0000,554516771.0000,,1.0000000000,,
6cdbd43c-53b6-dd11-b898-00188b804fcd,0c647cda-1126-e511-b56b-00155d331923,,56369635.0000,1891585337.0000,,2014,Euro,56369635.0000,1891585337.0000,,1.0000000000,,
6edbd43c-53b6-dd11-b898-00188b804fcd,4d71172b-1226-e511-b56b-00155d331923,,44356687.0000,664776767.0000,,2014,Euro,44356687.0000,664776767.0000,,1.0000000000,,
56d1db36-53b6-dd11-b898-00188b804fcd,a102836f-44f2-e311-bf84-00155d331718,,29935000.0000,823171000.0000,,2014,Euro,29935000.0000,823171000.0000,,1.0000000000,,
d4dbd43c-53b6-dd11-b898-00188b804fcd,4068240e-1c02-e611-83f2-00155d33171d,,8713139.0000,384601794.0000,,2014,Euro,8713139.0000,384601794.0000,,1.0000000000,,
bb991307-623b-e511-b179-00155d33171d,16afc4c6-467e-e511-8897-00155d33171d,,,,3800000000.0000,2014,Euro,,,3800000000.0000,1.0000000000,,
db96bb5a-53b6-dd11-b898-00188b804fcd,d1f6db7e-6584-e511-8897-00155d33171d,,,322000000.0000,,2014,Euro,,322000000.0000,,1.0000000000,,
